
> practice@0.0.1 dev C:\Users\yonat\Documents\Project\practice
> next dev "--port" "3000"

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.10.2:3000
✓ Ready in 598ms

 GET / 200 in 827ms (next.js: 194ms, application-code: 633ms)
 GET /documents 200 in 227ms (next.js: 44ms, application-code: 183ms)
 GET / 200 in 105ms (next.js: 12ms, application-code: 93ms)
 GET /api/tenants 200 in 104ms (next.js: 74ms, application-code: 30ms)
 GET /api/tenants 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/tenants 200 in 16ms (next.js: 6ms, application-code: 10ms)
 GET / 200 in 323ms (next.js: 21ms, application-code: 302ms)
 GET /api/tenants 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 955ms (next.js: 940ms, application-code: 15ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 24ms (next.js: 13ms, application-code: 11ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 1014ms (next.js: 1004ms, application-code: 10ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 25ms (next.js: 14ms, application-code: 11ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 15ms (next.js: 4ms, application-code: 11ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/documents 200 in 1095ms (next.js: 1085ms, application-code: 10ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 1138ms (next.js: 1128ms, application-code: 10ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 20ms (next.js: 12ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 1256ms (next.js: 1165ms, application-code: 90ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 33ms (next.js: 16ms, application-code: 17ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 21ms (next.js: 4ms, application-code: 17ms)
 GET /calls 200 in 75ms (next.js: 43ms, application-code: 31ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 19ms (next.js: 11ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 19ms (next.js: 11ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 13ms (next.js: 5ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 11ms (next.js: 3ms, application-code: 8ms)
 GET /bookings 200 in 65ms (next.js: 40ms, application-code: 25ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 17ms (next.js: 10ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 35ms (next.js: 28ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 25ms (next.js: 16ms, application-code: 9ms)
 GET /bookings 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /calls 200 in 27ms (next.js: 5ms, application-code: 22ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 19ms (next.js: 12ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 37ms (next.js: 28ms, application-code: 9ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 25ms (next.js: 16ms, application-code: 9ms)
 GET / 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 21ms (next.js: 14ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 14ms (next.js: 5ms, application-code: 9ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 25ms (next.js: 17ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 17ms (next.js: 10ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 35ms (next.js: 28ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 55ms (next.js: 46ms, application-code: 9ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 88ms (next.js: 67ms, application-code: 21ms)
 GET / 200 in 55ms (next.js: 5ms, application-code: 50ms)
 GET /calls 200 in 53ms (next.js: 5ms, application-code: 48ms)
 GET /bookings 200 in 50ms (next.js: 4ms, application-code: 46ms)
 GET /documents 200 in 40ms (next.js: 5ms, application-code: 35ms)
 GET /settings 200 in 91ms (next.js: 33ms, application-code: 57ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 15ms (next.js: 9ms, application-code: 6ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/export 200 in 927ms (next.js: 918ms, application-code: 8ms)
 GET / 200 in 48ms (next.js: 6ms, application-code: 42ms)
 GET /api/tenants 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 15ms (next.js: 9ms, application-code: 6ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 28ms (next.js: 22ms, application-code: 6ms)
 GET /api/tenants/cabinet-dentaire-saint-michel 200 in 45ms (next.js: 38ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/status 200 in 70ms (next.js: 54ms, application-code: 17ms)
 GET /calls 200 in 23ms (next.js: 5ms, application-code: 18ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 22ms (next.js: 14ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/calls 200 in 35ms (next.js: 29ms, application-code: 7ms)
 GET /api/tenants/cabinet-dentaire-saint-michel/activity 200 in 10ms (next.js: 3ms, application-code: 7ms)
